from,to,weight
Platzeck,SPD,1
Pofalla,Industrie,3
Pofalla,CDU,2
Praetorius,Wissen,2
Tillich,CDU,1
Hassfeldt,CSU,1
Hassfeldt,Sozial,3
Kampeter,Verband,3
Kampeter,CDU,2
Kapferer,Verband,3
Kapferer,FDP,1
Kempf,Verband,3
Nemat,Industrie,3
Reiche,Verband,3
Reiche,CDU,1
Roestel,Gruene,2
Roestel,Energie,3
Roestel,Verband,3
Schweitzer,Verband,3
Grothus,Umwelt,2
Wodtke,Regional,2
Wodtke,Umwelt,2
Wodtke,CDU,2
Herntier,Regional,3
Herntier,Politik,2
Kreuzberg,CDU,2
Kreuzberg,Regional,2
Priggen,Verband,3
Priggen,Gruene,2
Priggen,Regional,3
Vassiliadis,Gewerk,3
Vassiliadis,SPD,1
Scheidt,Gewerk,3
Scheidt,SPD,1
Scheidt,Energie,3
Koerzell,Gewerk,3
Koerzell,SPD,1
Kaiser,Umwelt,2
Kaiser,Politik,2
Niebert,Umwelt,3
Niebert,Wissen,2
Allmendinger,Wissen,3
Matthes,Umwelt,3
Schellnhuber,Umwelt,3
Schellnhuber,Wissen,3
Niebuhr,Wissen,2
Wehrspohn,Wissen,2
Laemmel,CDU,2
Lenz,CSU,2
Miersch,SPD,2
Weiger,Umwelt,3